TransactionID,CustomerID,Product,Brand,Amount,Quantity,Date,Platform,PaymentMethod
1,622,Books,H&M,1660000,3,2025-07-24,Tiki,MoMo
2,629,Travel,Nike,260000,1,2025-05-10,Lazada,ZaloPay
3,682,Electronics,Adidas,1440000,1,2024-08-13,Lazada,MoMo
4,135,Food,H&M,1517000,3,2024-11-18,Shopee,ZaloPay
5,859,Sports,Nike,310000,2,2025-06-10,Lazada,COD
6,793,Fashion,Adidas,1700000,4,2025-07-02,Tiki,MoMo
7,274,Travel,Nike,1665000,1,2025-06-29,Tiki,MoMo
8,123,Travel,H&M,656000,2,2024-10-05,Website,ZaloPay
9,865,Sports,Apple,790000,3,2025-04-17,Lazada,MoMo
10,778,Sports,Adidas,1590000,1,2025-03-04,Website,COD
11,745,Electronics,Zara,1308000,4,2025-05-28,Tiki,ZaloPay
12,243,Electronics,Samsung,936000,2,2025-07-25,Tiki,ZaloPay
13,312,Travel,Adidas,79000,4,2025-06-05,Shopee,ZaloPay
14,626,Food,Samsung,669000,1,2024-10-10,Tiki,MoMo
15,177,Beauty,Zara,729000,2,2025-05-04,Shopee,MoMo
16,192,Books,Samsung,879000,2,2024-09-10,Shopee,MoMo
17,134,Travel,Zara,342000,2,2024-11-06,Shopee,MoMo
18,836,Home,Samsung,1094000,1,2025-03-29,Tiki,Banking
19,570,Food,Apple,1638000,2,2025-03-21,Tiki,COD
20,919,Food,Nike,733000,1,2024-11-09,Tiki,MoMo
21,275,Food,Apple,475000,2,2025-03-24,Shopee,Banking
22,462,Travel,Zara,1707000,1,2025-02-02,Tiki,ZaloPay
23,930,Beauty,Nike,1955000,3,2025-05-11,Lazada,ZaloPay
24,375,Books,Apple,316000,4,2024-10-05,Tiki,COD
25,837,Food,Apple,1676000,1,2025-04-01,Shopee,COD
26,70,Sports,Xiaomi,980000,4,2024-11-09,Website,Banking
27,782,Travel,Xiaomi,664000,4,2024-11-26,Shopee,COD
28,36,Books,Nike,1838000,1,2025-06-27,Lazada,MoMo
29,452,Books,Samsung,1880000,1,2024-11-27,Tiki,MoMo
30,646,Beauty,Adidas,1564000,4,2024-10-21,Website,MoMo
31,618,Sports,Xiaomi,1875000,2,2025-05-16,Shopee,COD
32,214,Fashion,Nike,1501000,3,2025-06-11,Shopee,ZaloPay
33,358,Beauty,Samsung,921000,3,2024-09-23,Shopee,COD
34,335,Sports,H&M,490000,4,2025-04-15,Shopee,COD
35,545,Fashion,Xiaomi,669000,4,2025-01-15,Shopee,COD
36,213,Sports,Nike,87000,4,2024-09-08,Shopee,Banking
37,605,Travel,Xiaomi,356000,4,2025-02-28,Website,MoMo
38,663,Food,H&M,1177000,3,2024-08-14,Lazada,ZaloPay
39,85,Home,Apple,623000,4,2024-11-11,Shopee,ZaloPay
40,529,Sports,Apple,1717000,1,2025-06-16,Shopee,Banking
41,767,Fashion,H&M,1692000,4,2024-08-12,Lazada,COD
42,308,Home,H&M,997000,4,2024-12-22,Tiki,COD
43,524,Sports,Adidas,708000,3,2024-10-26,Tiki,ZaloPay
44,744,Home,H&M,1942000,1,2025-07-20,Tiki,MoMo
45,79,Fashion,Nike,783000,2,2025-02-03,Shopee,COD
46,90,Electronics,Adidas,641000,1,2024-11-18,Website,ZaloPay
47,130,Electronics,Xiaomi,680000,1,2024-09-30,Tiki,ZaloPay
48,547,Sports,Samsung,578000,2,2025-02-06,Website,Banking
49,954,Fashion,Xiaomi,1565000,4,2025-04-22,Website,COD
50,814,Sports,Apple,1256000,4,2025-04-08,Website,COD
51,782,Beauty,Nike,444000,3,2025-04-28,Lazada,COD
52,474,Sports,Nike,1229000,2,2024-11-10,Tiki,MoMo
53,195,Beauty,Xiaomi,1900000,2,2025-07-15,Shopee,ZaloPay
54,132,Food,Zara,765000,3,2025-07-05,Shopee,COD
55,972,Electronics,Zara,1288000,3,2024-11-26,Tiki,MoMo
56,818,Fashion,Xiaomi,1974000,2,2025-05-01,Tiki,COD
57,102,Beauty,Xiaomi,178000,4,2024-10-07,Tiki,MoMo
58,634,Electronics,Samsung,833000,4,2024-08-26,Tiki,Banking
59,635,Home,H&M,702000,2,2025-06-30,Website,Banking
60,186,Beauty,Samsung,301000,4,2025-06-29,Lazada,ZaloPay
61,709,Books,Apple,1895000,3,2025-06-22,Shopee,COD
62,361,Sports,Samsung,1320000,3,2025-06-17,Website,ZaloPay
